Regime,PC1_mean,PC1_std,PC2_mean,PC2_std,PC3_mean,PC3_std,PC4_mean,PC4_std,PC5_mean,PC5_std
0,2.0945038781574055,7.142542443866248,1.9796806945628005,1.7014138645466554,-2.2119661083702025,3.653074917938882,0.832476894924972,2.790189461293327,2.173355898293866,2.5496011002941383
1,1.7585265396883525,6.144068701366209,-1.2914571381864586,2.023395027100182,0.06951951781830408,2.6436902857556506,-1.404920273334182,2.9987120938838614,0.6047432665172026,1.5369695339476366
2,-0.07782750190936054,4.650297037527096,0.026503662667594553,3.9858313778181316,0.9696071833587322,3.2083118275218,-0.2198997630950067,1.5431422355799242,-1.6050653452556372,2.053957813567832
3,-1.5799073158945656,4.025977862028018,1.570883365069251,0.8662940868725563,3.517892198581931,2.318859792321244,6.139730784669396,1.5778719426174677,-0.36398016588255877,0.3194129327526914
4,-2.2832312778965957,2.5706420489478554,-3.967777575585526,0.6609675878000159,0.7183288678094011,1.5455484244649156,0.6891724412976441,0.7467294614561465,-0.8598537983629804,1.0212068638326017
5,-4.166579959497263,4.438780922371748,0.6866395238100923,2.5237403167298975,0.1876817731267487,2.205951923874053,0.4073246140539861,2.894485327285574,0.6410611002417939,2.0312238293359157
6,14.230973744310106,,7.422489170564836,,-8.277439374178053,,12.720981114381546,,-1.4611611909926192,
