,To_Regime_0,To_Regime_1,To_Regime_2,To_Regime_3,To_Regime_4,To_Regime_5,To_Regime_6
From_Regime_0,0.9464285714285714,0.0,0.017857142857142856,0.0,0.0,0.017857142857142856,0.017857142857142856
From_Regime_1,0.017543859649122806,0.9298245614035088,0.05263157894736842,0.0,0.0,0.0,0.0
From_Regime_2,0.00980392156862745,0.029411764705882353,0.9117647058823529,0.0,0.0196078431372549,0.029411764705882353,0.0
From_Regime_3,0.0,0.0,0.0,0.5,0.0,0.5,0.0
From_Regime_4,0.0,0.0,0.05263157894736842,0.0,0.9473684210526315,0.0,0.0
From_Regime_5,0.0,0.0,0.09523809523809523,0.023809523809523808,0.0,0.8809523809523809,0.0
From_Regime_6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
