PC1,PC2,PC3,PC4,PC5,Cluster,Coin,Regime
-2.5196849319242567,-1.704539035106405,0.0754004055638569,2.623420232752963,1.6622603557168698,1,avalanche-2,Sharp Correction
-5.641323643395031,-0.710666768969743,-1.0129990594180325,-2.184417688726555,3.1117745300812523,2,avalanche-2,Sideways/Low Volatility
-3.4068760511052503,-1.3183273261849688,-1.633590317382753,1.2053480764279678,1.405592354501754,2,avalanche-2,Sideways/Low Volatility
-5.33325024980592,-1.0029043491355316,-1.7276140392686168,-1.06219692596691,0.8950425622965928,2,avalanche-2,Sideways/Low Volatility
-7.937499238549898,-0.9289258967501144,-1.8055490897349291,-1.6042505990039193,0.9718007331798764,2,avalanche-2,Sideways/Low Volatility
-7.238797158604243,-2.1498555797240555,-2.791847982725818,2.4041859158263787,-0.4617560337721056,2,avalanche-2,Sideways/Low Volatility
-6.1416209561929325,-1.885602293467756,-2.964922343341673,2.1399261939616028,0.5330163569602011,2,avalanche-2,Sideways/Low Volatility
-3.2009045404196383,-2.320219128567145,-2.6830938792236365,3.0708471533700106,0.2869335548932877,2,avalanche-2,Sideways/Low Volatility
-1.8592505956444347,-2.640168349322555,-2.4250600626877303,0.5274046507115058,-0.3730531999434802,2,avalanche-2,Sideways/Low Volatility
-2.4623160058461884,-2.644296752567962,-2.3181083546979315,-0.4192336209847138,-0.7988672250988544,2,avalanche-2,Sideways/Low Volatility
-0.896070957777715,-2.7957629112048443,-2.0982404362488944,1.5133288253604475,-0.6306595099069598,2,avalanche-2,Sideways/Low Volatility
2.1108551897774235,-3.358313722663675,-1.3958677311112666,2.6920496809169063,-1.3568455255798668,2,avalanche-2,Sideways/Low Volatility
1.8481721690000144,-3.056397214648104,-1.0949630433804478,-0.6073984837403166,-1.4720043593031351,2,avalanche-2,Sideways/Low Volatility
0.4552855929848885,-3.0299091867857397,-0.680195296252464,-2.349492957630124,-1.9058660632353328,2,avalanche-2,Sideways/Low Volatility
-1.8546768406910596,-2.3133096311903403,-1.428551201315713,-1.7064506727732254,-0.7580390677466622,2,avalanche-2,Sideways/Low Volatility
0.7731010374005312,-3.024221158805182,-1.0465294011837505,1.0817892444054944,-1.6877682285167082,2,avalanche-2,Sideways/Low Volatility
2.0085727633641506,-3.5774193815786237,-0.3314206778765449,1.3153197236693388,-3.536350867545109,2,avalanche-2,Sideways/Low Volatility
3.8946690874858914,-3.777681693218519,-1.0228425942240045,1.5824049864534455,-1.5911334676746696,2,avalanche-2,Sideways/Low Volatility
4.819208600697745,-4.257199601288287,-1.018395476112503,0.1678004346554388,-2.331102661228101,2,binancecoin,Sideways/Low Volatility
6.016687072423961,-4.052969052034474,-1.1927102051164753,0.879441345532734,-2.149810139471002,2,binancecoin,Sideways/Low Volatility
3.346729935544688,-3.873663868172516,-1.0079494808098692,-1.4944829484848436,-3.609086338209869,2,binancecoin,Sideways/Low Volatility
3.385113899917943,-4.0026398074429554,-1.1894144185458446,0.2714589884734267,-2.7882064914957536,2,binancecoin,Sideways/Low Volatility
4.734721232625821,-4.070771789418443,-1.0603451602417473,0.9366259642820686,-2.838014200686971,2,binancecoin,Sideways/Low Volatility
3.681499531070929,-4.005297634595414,-0.6415589327595727,-1.6908379246060778,-3.624562935522205,2,binancecoin,Sideways/Low Volatility
7.516587260073723,-3.7780539945900538,-2.427424351668932,2.2594570929469366,-0.9552835201655732,2,binancecoin,Sideways/Low Volatility
8.012206368958537,-3.5978979380390954,-2.399133748661057,0.3693409076433677,-1.2905385762750143,2,binancecoin,Sideways/Low Volatility
6.7438992437713745,-3.442303550064642,-2.173996090756516,-2.146135330791885,-1.500362045602772,2,binancecoin,Sideways/Low Volatility
6.381415701795125,-3.007807864547692,-2.486085519733101,-2.333744036004106,-0.4486898404878154,2,binancecoin,Sideways/Low Volatility
2.397638254058881,-2.525068958688122,-1.7244202875347396,-5.339511297900412,-1.4904413451048324,2,binancecoin,Sideways/Low Volatility
-1.2953842438663394,-1.177721517733774,-2.971734670866644,-4.832020697829211,0.6248013509956719,2,binancecoin,Sideways/Low Volatility
-2.3900374898779497,-1.0138394644858248,-3.392086807557669,-1.7862155465385554,0.199004450408776,2,binancecoin,Sideways/Low Volatility
-2.4774840152510724,-0.6489262084255972,-4.246062543551045,-0.642005851329425,1.320536030935231,2,binancecoin,Sideways/Low Volatility
-0.5805658452742762,-1.3014317776929842,-3.962786515743574,2.3958396629090735,1.002609810621819,2,binancecoin,Sideways/Low Volatility
-1.3361052322524385,-0.5221323871289864,-4.0318588342964015,-0.1918453231189771,0.2297927202539996,2,binancecoin,Sideways/Low Volatility
0.0117298620289424,-0.5147508960374069,-5.125901856315098,0.6106819689437996,1.8071401973374448,2,binancecoin,Sideways/Low Volatility
-1.9907089290670164,-0.2412840204180126,-5.2344014650691815,-1.6654141745238638,2.253172227017357,2,binancecoin,Sideways/Low Volatility
-1.655420841295422,-0.5396604527042274,-5.108410383768853,-0.2624443816701743,1.6856439557675862,2,bitcoin,Sideways/Low Volatility
-3.4755398790260132,-0.4450338211769389,-5.246887798988185,-1.8042690529911307,2.0776173906044,2,bitcoin,Sideways/Low Volatility
-4.078266549656071,-0.619636038570477,-4.622026760642784,-0.0472520676553227,0.8757511169897912,2,bitcoin,Sideways/Low Volatility
-1.6547639644661,-1.17708602813308,-4.63304194769567,2.493622923873582,1.0513912055298469,2,bitcoin,Sideways/Low Volatility
-1.194077227745708,-1.4890769145308795,-4.2922998428771955,0.671383006332195,0.6401991231564159,2,bitcoin,Sideways/Low Volatility
