component,variance_explained,interpretability_score,top_feature_1,loading_1,top_feature_2,loading_2,top_feature_3,loading_3,top_feature_4,loading_4,top_feature_5,loading_5
PC1,0.2905081774572615,0.010829637271733186,market_momentum_14d,0.149830871693287,bitcoin_rsi_14,0.14704075404025937,ethereum_price_sma14_ratio,0.1441114760403225,bitcoin_rsi_7,0.14318968925494246,bitcoin_price_sma14_ratio,0.14181217176871747
PC2,0.09073735708392204,0.014022697814479162,crypto_vix_30d,0.24018010096137862,bitcoin_realized_vol_30d,0.2374001251902658,binancecoin_var_95_30d,0.23138591727618324,crypto_vix_14d,0.22845038681445778,bitcoin_vol_14d,0.22603823733114392
PC3,0.08823236682862289,0.012606417924201453,bitcoin_reverse_bb_momentum,0.19493216667913146,breadth_positive,0.19444466077570802,dogecoin_reverse_bb_momentum,0.19190649164789875,solana_reverse_bb_momentum,0.18128334470297353,shiba-inu_reverse_bb_momentum,0.1802389013250611
PC4,0.05918121349815573,0.012619431333940095,binancecoin_btc_ratio_momentum,0.2825868025703231,litecoin_btc_ratio_momentum,0.21694384550135992,tron_btc_ratio_momentum,0.20549768986511863,bitcoin_macd_histogram,0.19532472426334196,bitcoin_vol_7d,0.18153533569172248
PC5,0.05151302484916022,0.012578966905056789,matic-network_bb_regime_type,0.22851304824651064,tether_vol_14d,0.21810418670765028,tether_vol_30d,0.21354274620476324,tether_vol_7d,0.20773683151296454,dogecoin_bb_regime_type,0.17784868341814264
