,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
ethereum_vol_14d,0.022336804535676325,0.12362903166747578,0.017846875002019837,-0.10880554193876261,-0.11153088226005942,0.20546814436170688,0.12422262341667795,0.01986524521982544,-0.1233577328756522,-0.11589598937295845,-0.08212581220241102,-0.007333756212710572,-0.11965658811581406,-0.055005163058181594,0.20935104784880193,-0.00411658252098842,-0.2240978495010043,0.06865543729946202,0.12357334957332503,-0.021557462625017537,0.08584961668251034,-0.09962839516187635,-0.018213106375307347,-0.06010145649594556,0.04372729382364708
ethereum_bb_regime_type,-0.04735175211700788,0.10428886308164996,-0.019197578859893365,0.09400675434247967,0.014653338499586924,-0.008151563423809407,0.050848341846862266,-0.008752390991681834,0.19209649265919457,-0.05834111911781765,0.2168714166700631,0.10485849024530301,-0.03400944532659618,-0.1070327208383478,-0.008509624303811636,-0.08289380135590513,-0.2657937905566401,0.06427806612806376,-0.1422780331773657,-0.036966764760869575,-0.1868451495603826,-0.08748609905030727,-0.1498393515298428,-0.29029336477699474,0.3115407021602785
ripple_reverse_bb_momentum,0.08243744671984375,0.07317220015742373,0.11632671884897217,0.011621439913046058,0.15802303872477955,-0.020527712367584643,0.021244658182371944,-0.0976153806268777,-0.0831233602079225,-0.07721312184946616,0.0023012195338514394,-0.1081738709941462,0.10001323478854525,-0.01778250786399045,0.12776709239748701,-0.07587590315249904,0.05583327928656301,0.21834062991050832,-0.12082900495147567,-0.0700570513763564,-0.11325970257926066,0.02991188661343258,0.03520751333775937,0.05602616068760639,0.10384758055470938
ripple_bb_regime_type,0.0019873802678290198,-0.19339713888006463,0.06556959658134674,0.05695802513548574,-0.09322464138751858,0.011557567905398646,0.03734373519970771,-0.052443156489943056,-0.056533619713295416,0.01759122849458822,-0.014483088289898744,0.0918538349845073,0.0708246301526323,0.03209847472417631,0.0556878201973344,0.11766105951277124,-0.19104473276722947,0.10012193362212174,-0.142080661756375,-0.17467839065335986,0.04092204945216715,0.16625404500038637,-0.17198774214441104,0.12710456540290205,-0.11613218925710855
polkadot_momentum_5,0.12191394011404424,0.04546756724644139,0.026110277230426363,0.07490614856987368,-0.1147188237008036,-0.028068481887806983,-0.09985878214127072,0.0746658112519745,-0.12017943797518797,-0.04530675599322661,0.15822776169022618,-0.07228065376477529,0.0572125328280271,0.10629216440144221,-0.11710018341447855,0.08627890415003808,-0.041370171391971,-0.1168364162780754,-0.0151464550252957,0.1519736738766752,0.10318252947788872,0.04863217265300454,-0.0675173104797265,0.06280267872910132,0.08200672428297476
bitcoin_rsi_7,0.14318968925494246,-0.06693468731225782,0.05537521661087995,-0.10245388223124328,-0.01147548174299447,0.053304729517360934,-0.022034917912513195,0.01691810234299197,0.10713989905056698,-0.03999835294327197,0.0029130616260038423,0.047360403879841674,-0.016879515832317723,-0.06623720460984635,-0.0642979822056349,-0.0818621666644995,-0.0736018269415337,-0.07834876649947364,-0.05784617474919566,-0.07599465226178713,0.04275239696062172,-0.025227437674882478,0.05883176434906266,-0.03036819301196551,-0.05612525806209823
bitcoin_bb_regime_type,-0.03992136320224176,0.06929292435264883,-0.004465305961200173,0.09106486776743702,0.005263454599162188,0.020941815004873375,0.01411884090777811,0.04281017032467045,0.2483339410829054,0.09283210901118634,0.3904311212391652,0.08127195929882579,-0.01818194082108376,-0.011504190934472688,0.15664212577356434,0.05044505185335366,-0.005284857878721768,-0.06915250380812682,-0.16343967166245765,0.0435158300085217,-0.03899276745324104,0.013896361634146565,0.24774085065290968,0.09384830950664115,-0.1907526658109971
ripple_btc_ratio_momentum,0.09891408233140091,0.13136513644236295,-0.15767114466534474,0.045826751549651275,0.06817602964892377,-0.0831248181729769,0.007344699141121413,-0.05738134848925571,-0.06948741675644485,-0.1253785203706374,0.009604393818415633,0.03154879041072773,0.03198586797816421,-0.07191036414952298,-0.014503028014680614,0.05074729893223907,-0.05588462247900919,-0.08227515121795531,-0.00018156171154663913,-0.010279281320183855,0.026344235554391013,-0.00737988356394531,0.047053406078453715,-0.00870063664651365,-0.030652426952552183
tether_sortino_30d,0.06777055034531203,-0.037476813619655866,0.03696907296879231,-0.013506561463630539,-0.05593960862901677,0.003504406057081987,0.2030208635139761,-0.005314541903565186,-0.0024872045483888654,-0.13477384354747515,0.12375659028190511,-0.14204990425806868,-0.14335581581825144,-0.1926900838340952,-0.08942400411903678,-0.10590460879882425,0.2414099039252431,-0.09584936975887667,0.13116125335788595,0.12747183870468412,-0.059501126318290035,-0.10165322406298599,-0.05249128091443318,-0.03207177210337261,0.08570059132766177
usd-coin_momentum_5,0.011295275280012661,0.014052965101892138,0.03243402446401877,-0.039535372643978765,-0.0344314781678748,-0.18034091007723066,0.1678976543168645,0.15187716467481938,0.03682062156792139,-0.03832252227463155,-0.07016171892944216,-0.04740190428629028,0.19168535455917715,0.22793366358276626,0.14820775566277877,-0.1984991469531116,-0.010442506992138218,-0.1734798019433062,-0.0290247883354056,0.008166145518180004,0.023067354752686273,0.16439150634960545,0.06381316496632504,-0.1772037737828965,0.056297579287402255
