PC1,PC2,PC3,PC4,PC5,Cluster,Coin
3.8946690874858914,-3.777681693218519,-1.0228425942240045,1.5824049864534455,-1.5911334676746696,2,avalanche-2
-1.9907089290670164,-0.2412840204180126,-5.2344014650691815,-1.6654141745238638,2.253172227017357,2,binancecoin
-3.901128696638551,-2.1797143057207107,-3.1798947005556015,-5.039784429422886,-3.1415446461500176,2,bitcoin
11.880774763539014,-0.9573966344181388,1.7278039957614686,-3.898532974690988,-2.6866745884190943,3,cardano
9.03063546035421,6.971837868514331,1.6074974141899057,-1.4161826707097744,2.188750289365764,0,dogecoin
-7.448291776336365,10.988823465204646,-1.2505950116064095,-4.304840554428705,2.1574257064463787,0,ethereum
4.300094501382073,2.4745795813325535,2.622307691207505,-0.43268338553213,-5.7351570229036435,3,litecoin
1.1933034781031655,2.557269768106089,-0.0380320780909776,-0.3957399982111443,-3.4050968623702165,3,matic-network
-5.963419990699398,0.5320682901648234,-0.6002023896647891,3.378292757383349,-0.3295837561578126,3,polkadot
-8.86870578348791,-1.1663434123177892,0.6143918549966549,0.8143366727633993,0.0160217347639461,1,ripple
-3.944644929255092,-2.8298577887769194,6.242223607187393,-0.0585456990571895,1.7980229073105338,1,shiba-inu
-5.507484368991556,-3.988734584456228,-0.125042569553587,-0.2600025022422911,0.0516878308204807,2,solana
4.766972657216308,-5.793504704183232,3.170847737610302,-0.3818586788018654,-0.7057583079926061,1,tether
7.650964674309309,-2.889549435309574,-1.1545410634207285,-5.297367396509384,1.871026363603702,2,tron
-2.7919448909399813,0.4153261873648344,-2.572050961200743,-0.1037756947563328,2.860845746619553,2,usd-coin
