,avalanche-2_log_return,binancecoin_log_return,bitcoin_log_return,cardano_log_return,dogecoin_log_return,ethereum_log_return,litecoin_log_return,matic-network_log_return,polkadot_log_return,ripple_log_return,shiba-inu_log_return,solana_log_return,tether_log_return,tron_log_return,usd-coin_log_return,avalanche-2_log_return_30d_vol,binancecoin_log_return_30d_vol,bitcoin_log_return_30d_vol,cardano_log_return_30d_vol,dogecoin_log_return_30d_vol,ethereum_log_return_30d_vol,litecoin_log_return_30d_vol,matic-network_log_return_30d_vol,polkadot_log_return_30d_vol,ripple_log_return_30d_vol,shiba-inu_log_return_30d_vol,solana_log_return_30d_vol,tether_log_return_30d_vol,tron_log_return_30d_vol,usd-coin_log_return_30d_vol,avalanche-2_90d_momentum,binancecoin_90d_momentum,bitcoin_90d_momentum,cardano_90d_momentum,dogecoin_90d_momentum,ethereum_90d_momentum,litecoin_90d_momentum,matic-network_90d_momentum,polkadot_90d_momentum,ripple_90d_momentum,shiba-inu_90d_momentum,solana_90d_momentum,tether_90d_momentum,tron_90d_momentum,usd-coin_90d_momentum,avalanche-2_rsi14,binancecoin_rsi14,bitcoin_rsi14,cardano_rsi14,dogecoin_rsi14,ethereum_rsi14,litecoin_rsi14,matic-network_rsi14,polkadot_rsi14,ripple_rsi14,shiba-inu_rsi14,solana_rsi14,tether_rsi14,tron_rsi14,usd-coin_rsi14,avalanche-2_pctB,binancecoin_pctB,bitcoin_pctB,cardano_pctB,dogecoin_pctB,ethereum_pctB,litecoin_pctB,matic-network_pctB,polkadot_pctB,ripple_pctB,shiba-inu_pctB,solana_pctB,tether_pctB,tron_pctB,usd-coin_pctB,avalanche-2_macd_hist,binancecoin_macd_hist,bitcoin_macd_hist,cardano_macd_hist,dogecoin_macd_hist,ethereum_macd_hist,litecoin_macd_hist,matic-network_macd_hist,polkadot_macd_hist,ripple_macd_hist,shiba-inu_macd_hist,solana_macd_hist,tether_macd_hist,tron_macd_hist,usd-coin_macd_hist,avalanche-2_log_return_sharpe30,binancecoin_log_return_sharpe30,bitcoin_log_return_sharpe30,cardano_log_return_sharpe30,dogecoin_log_return_sharpe30,ethereum_log_return_sharpe30,litecoin_log_return_sharpe30,matic-network_log_return_sharpe30,polkadot_log_return_sharpe30,ripple_log_return_sharpe30,shiba-inu_log_return_sharpe30,solana_log_return_sharpe30,tether_log_return_sharpe30,tron_log_return_sharpe30,usd-coin_log_return_sharpe30
PC1,0.06488553063773231,0.04664306796729967,0.06537587688910829,0.061465638153632776,0.07337064220010307,0.07260610625005626,0.058483920778771785,0.0689128030608002,0.06892915431816732,0.06958655876566427,0.05883984007687667,0.05593115669692613,0.018867084411307928,0.0343846467790427,0.009608136987393141,-0.040378175402504796,-0.07612815214686029,0.01142211038913457,-0.020741393336849732,0.05287729291174304,-0.005928645472519793,-0.04581656961694248,0.013541337542673209,0.003778491306737058,-0.02451853843461555,0.03157601632491108,-0.051664452839254256,0.04287012325766148,-0.01747119343526427,0.042210684987273456,0.09096955310467958,0.07357919165311602,0.06204007116314061,0.052762646693450314,0.07633193749908122,0.05953805410931446,0.029745697211331405,0.06407569638673938,0.06573914400001692,-0.0021856162991589546,0.10120025503896343,0.08438145682261652,0.0806805300945173,0.03908532156687538,0.016494162360604265,0.14978383185116528,0.13093492945563587,0.1388220974776447,0.1500352637103952,0.14481165534957802,0.14850930688574784,0.1359790056455155,0.1454041161895588,0.1502202714131524,0.1441241851829746,0.1454003478656326,0.1310301895294863,0.053672541876104214,0.09956795816067031,0.011517589430119733,0.1522620700779834,0.13228974420802506,0.1457745132055,0.14623441330634096,0.14847748886506634,0.15374032565583673,0.14242879683537374,0.15040462794175954,0.15083456825292718,0.1438186026290252,0.14797100731153012,0.13030830256362827,0.05893501412315677,0.09855249337153042,0.020038191673705706,0.11315597447680785,0.1066603707312836,0.10426307545473501,0.1050370926275526,0.08446853481347964,0.12511785747830453,0.11871844641020364,0.11436537439058352,0.1071089880333916,0.12375941263901441,0.09661181746235585,0.07929743956441504,0.048976513375116076,0.08317356315429814,0.011259391073812314,0.1255390591697044,0.10017874795043007,0.12896524686010855,0.13294075440073266,0.1389124774721361,0.11884727711029727,0.10276317196109062,0.11922695851781459,0.12727630341460053,0.09949625443702778,0.1307056112149773,0.12954111716977068,0.07825050280871901,0.062169457374115715,0.01959185137544059
PC2,-0.026451187376124497,-0.013438812232266173,-0.0273875448335803,-0.020799544305839412,-0.03664666135714889,-0.023593179002755475,-0.009344018299287219,-0.023253444972988972,-0.023659852646375944,0.0028001928396994614,-0.03197370312348301,-0.03064333078820861,-0.013174701665893511,0.00027928014766284866,-0.004192078618792469,0.09914775374022729,0.09657733567584789,-0.010461747400501775,0.02701542621967809,0.07637302013011438,-0.036185357382802784,0.1575053847431907,0.15781220512678848,0.19339085600750514,0.13067632861341125,0.15444564323981366,-0.03312570509545791,0.15138337663486987,0.19926691976785627,0.167855088183859,0.19113486510463548,0.17830047730546306,0.2060555806374986,0.20562274538710673,0.19835992479547646,0.20656777183150854,0.1989864381875961,0.2049287836757038,0.20946088688571263,0.17890849467213765,0.17755826560786625,0.1846092933508977,-0.020308450156908023,0.1922266573548243,0.023417533162477813,-0.02251231912407844,-0.026115428384329054,-0.03694656807438185,-0.009129973052367653,-0.06151408951643356,-0.015484534911734035,0.004424268207197578,-0.005347546034983284,-0.021813999536657615,0.03390863013101596,-0.06319989695418254,-0.06832927481608604,-0.05718199466861072,-0.025524255877593962,-0.007825469949202569,-0.036131908334163715,-0.019344077756011196,-0.024740387416848315,-0.032462893829066405,-0.06056176588723293,-0.014645296748537326,-0.005186707846775484,-0.013623286649021139,-0.039458036579149175,0.010311345246911616,-0.0519119464473009,-0.08143095542155947,-0.0549182143827508,-0.028050434471553587,-0.0144705917167364,-0.09865421959146745,-0.06148504912036447,-0.12146799188824423,-0.09809060667198104,-0.1375782748535589,-0.1125542316394688,-0.0576743516261344,-0.08792334475465995,-0.09315417968583951,-0.0392098427349098,-0.11681318297295273,-0.11544622582833264,-0.07989262474036912,-0.02349862302884793,-0.014468552777539475,0.05424653535677005,0.050694938565805626,0.05509740358421784,0.09762346617310019,0.03333281812469733,0.07851574532663956,0.09859029905928489,0.09089002146645439,0.08620534697554487,0.16852187361983673,0.008594104221893616,0.004445415427093583,-0.042172030467710946,0.0052957477766158246,-0.013193214101948472
PC3,-0.007918713480732373,-0.01839473877839701,-0.017732863812206737,-0.002844680056268938,-0.032297453709920605,-0.029202376143256548,-0.018882711976843075,-8.896847606909564e-05,-0.0015176267487828632,0.016293754628513055,-0.019702958328265303,-0.02248497636571542,0.017095349750536667,0.0017719442485970912,0.017526714872601854,0.26102181316858847,0.19163046905969985,0.27213803453426166,0.29021638875284583,0.21585072795746577,0.22192071198119132,0.18852441400249603,0.19553493612809628,0.17110379461400238,0.2521282719316254,0.098438005581568,0.291717584579639,-0.0061134536284486365,0.054112402716671455,-0.057622844658232496,-0.05209624784308497,-0.06508573812743705,-0.015612285129019663,0.0404087846700539,0.021811045467908845,-0.036888985706148465,0.02465975076164325,-0.0351958339896059,0.016878223954946283,0.037395597871625635,-0.04654701114074498,-0.05148567777681615,0.04291135308361446,-0.07321209372437316,-0.0026361758268000934,0.06776744551203609,0.024613225711589096,-0.03275639928859129,0.07055077781841049,-0.0420903608314816,-0.026017517975435188,-0.018355128296251143,0.08767561939765588,0.09145843470693121,0.10260563876933877,0.02456239439298789,-0.02311306546156086,0.08323630223902989,-0.041170834618279355,0.07806170876949656,0.04782356802977562,0.022347330323146047,-0.040445744144684916,0.05022980458428178,-0.04703101500916715,-0.02985821044963989,-0.016266270786930905,0.07052620353907298,0.05935685840466102,0.09049252241292126,0.011177678750988634,-0.03374307569145489,0.07627721744443831,-0.06061669860498856,0.07594533011247219,0.13009548252101327,0.08978408461971393,0.05864309660092196,0.08643768008547417,0.05552493698162691,0.04928306527726623,0.03260124614229084,0.11853181988918349,0.10002424342749597,0.0938340764836895,0.09831549256354559,0.06483355529834343,0.07584114750832616,0.05428544804661919,0.06399683189835297,-0.07419048753733679,-0.13556553755459183,-0.1299356991300456,0.021818270120627287,-0.1142646404903975,-0.129398125835925,-0.1386997294107237,-0.030476485843993623,-0.02087242539852359,0.04435853665027596,-0.12218336826295494,-0.11225668765857896,0.03566526146449401,-0.13005806581289076,0.032410385880348655
PC4,0.2854379553643786,0.2515137665288878,0.2703810502706482,0.2655705279826285,0.26748351672269277,0.2713933735109744,0.24194756927455688,0.277399093286256,0.2715280966771103,0.22485135897678116,0.27287435233586405,0.26196547111159213,0.10655489728600061,0.09616818668587816,0.020337350308181817,0.03412793847886234,0.05149498893119083,0.0056277516293879275,0.011143415392067077,-0.03714017217996668,-0.0017421060246212065,0.042455275111960844,0.017681794065622567,0.011769207348769193,0.02156749640915112,-0.018557078527946195,0.02670471534826099,0.01712973394241024,0.03479157098017566,0.017074508250917733,-0.012807279536347367,0.005317107707609612,-0.0006861187863491961,0.007931228169387178,-0.00814124964385836,-0.0005307087427499112,0.021414831440131708,0.0024270776655519813,-0.00012998438871129436,0.027870192700490907,-0.02330095855660705,-0.011449179786731697,-0.035219656043919016,0.02117084224460482,-0.027378161899727985,-0.03440413409767935,-0.008511072618096428,-0.03717430030937587,-0.03195247542992338,-0.04871749115403105,-0.048504938124085475,-0.031408201681932896,-0.03276367762793003,-0.03235844151483601,-0.025800953541228633,-0.025056384900973522,-0.03747619641678217,0.05415295140490754,-0.06414339129842261,-0.005628827281738958,0.023333226150691812,0.0418228490953244,0.016157835673408644,0.031129267222880744,0.007397470286214334,0.0024593644490343448,0.01311790219780482,0.02755637524773535,0.021839602325462008,0.017810324785776065,0.031619746035161794,0.012997353160081927,0.06964004340518812,-0.040723200738020514,-0.007837874531599434,-0.07305000535522012,-0.04199581035983133,-0.06119294090069447,-0.06352742333134014,-0.060767605912588916,-0.0862884358309133,-0.07092049034928671,-0.06722347838970677,-0.06930391426093695,-0.07083030553267532,-0.05831485748137174,-0.04334771987293333,0.0033347859262786773,-0.09206219043296211,-0.03904628326491437,-0.049047233992853066,-0.03524297888711708,-0.056945418651826625,-0.05035941119659287,-0.0653951058497962,-0.05284676258447955,-0.03278140518243849,-0.043396664897664666,-0.05495932775338366,-0.026573144075634027,-0.05889730220181695,-0.05682885450335894,-0.0041184699501407105,-0.04270982394207867,0.015383457323440179
PC5,0.04005845709415021,0.05774198611896938,0.0012843295041869152,0.008853080912833877,0.004516884713243269,0.04895477197735798,-0.00222726005084406,0.0361707718358138,0.04632460002888139,0.0004203432521383277,0.03289644362846793,0.0006063812505051128,-0.06808721219725375,0.03204086246204765,-0.07242319295286138,0.1109103149622867,0.06391666515773432,0.09526847389326826,0.1207300274439761,0.11186737047101827,0.25367511300963314,0.0036153542011441663,0.1016473631879857,0.06216522611858095,0.10799396993591191,0.07561128179493734,0.06457310583356336,-0.13556539395280637,0.029530369825596915,-0.08133287517878555,-0.07406831245355455,-0.1052033767155114,-0.10608674550298663,-0.13124260658349396,-0.09012659917933392,-0.0894252642590671,-0.17030377346703449,-0.10600903457626136,-0.07700370402804924,-0.2109889765681443,-0.023244681027518862,-0.09819652569221077,-0.038191791705962125,-0.13376640952590893,-0.1014638415232889,0.020464600516011778,0.004675946673276039,-0.0060281901829316925,-0.01178398805128268,-0.0628456703644174,0.045972682364820085,-0.09103826772006667,0.013109368794513215,0.019403300318283235,-0.053567497256331864,-0.014947169926299667,-0.06636039250612563,-0.10428052455974975,0.09807599228715166,-0.1276711662823224,0.01268747792848714,0.05017260988161219,-0.025436398707984,-0.03967646481488209,-0.07801769850171057,0.045531067613226214,-0.09107271708941217,0.015826967330455112,0.008332444940011468,-0.07331173799066837,-0.00292681889496995,-0.08876055939618159,-0.10902624889500487,0.10895714265636303,-0.13376757833664307,-0.04005393920547931,-0.012813527568869202,-0.08867035638788706,-0.04516766666498654,-0.11180348347565562,-0.020181464386728798,-0.10157206402317463,-0.04495117758082004,-0.037050158907308325,-0.00443323569181688,-0.09857734594103473,-0.1155331016483767,-0.21575167839182655,0.029436093101769034,-0.09825618475924261,0.17122451531957597,0.19858969719868932,0.12666999671657747,0.14547563275680675,0.06605141662203341,0.18373834380923423,0.07698192458215984,0.20082390379258958,0.2135773693261938,0.08517365721846315,0.16840650278603378,0.06740143547153456,0.019073332953774287,0.24833570927559123,-0.11802718625151482
